symbol,name,exchange,market_category,test_issue,financial_status,round_lot_size,etf,nextshares,source_file
AACB,Artius II Acquisition Inc. - Class A Ordinary Shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AACBR,Artius II Acquisition Inc. - Rights,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AACBU,Artius II Acquisition Inc. - Units,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AACG,"ATA Creativity Global - American Depositary Shares, each representing two common shares",NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
AADR,AdvisorShares Dorsey Wright ADR ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAEQ,Alpha Architect US Equity 2 ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAL,"American Airlines Group, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AALG,Leverage Shares 2X Long AAL Daily ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAME,Atlantic American Corporation - Common Stock,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AAOI,"Applied Optoelectronics, Inc. - Common Stock",NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AAON,"AAON, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AAPB,GraniteShares 2x Long AAPL Daily ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAPD,Direxion Daily AAPL Bear 1X Shares,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAPG,Ascentage Pharma Group International - American Depository Shares,NASDAQ,G,N,N,100,N,N,nasdaqlisted.txt
AAPL,Apple Inc. - Common Stock,NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AAPU,Direxion Daily AAPL Bull 2X Shares,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AARD,"Aardvark Therapeutics, Inc. - Common Stock",NASDAQ,Q,N,N,100,N,N,nasdaqlisted.txt
AAUS,Alpha Architect US Equity ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAVM,Alpha Architect Global Factor Equity ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
AAXJ,iShares MSCI All Country Asia ex Japan ETF,NASDAQ,G,N,N,100,Y,N,nasdaqlisted.txt
ABAT,American Battery Technology Company - Common Stock,NASDAQ,S,N,N,100,N,N,nasdaqlisted.txt
