exchange,ticker,description,exch_disp,quote_type,region
ASE,IAUX,i-80 Gold Corp.,NYSE MKT,EQUITY,MX
CBT,0YM=F,,Chicago Board of Trade,FUTURE,MX
CBT,10Y=F,"10-Year Yield Futures,Feb-2026",Chicago Board of Trade,FUTURE,MX
CBT,KE=F,"KC HRW Wheat Futures,Mar-2026",Chicago Board of Trade,FUTURE,MX
CBT,YM=F,Mini Dow Jones Indus.-$5 Mar 26,Chicago Board of Trade,FUTURE,MX
CBT,Z3N=F,"3-Year T-Note Futures,Mar-2026",Chicago Board of Trade,FUTURE,MX
CBT,ZL=F,"Soybean Oil Futures,Mar-2026",Chicago Board of Trade,FUTURE,MX
CBT,ZN=F,"10-Year T-Note Futures,Mar-2026",Chicago Board of Trade,FUTURE,MX
CBT,ZQ=F,"30 Day Federal Funds Futures,Ap",Chicago Board of Trade,FUTURE,MX
CCC,BTC-USD,Bitcoin USD,CCC,CRYPTOCURRENCY,MX
CCC,ETH-USD,Ethereum USD,CCC,CRYPTOCURRENCY,MX
CCC,XLM-USD,Stellar USD,CCC,CRYPTOCURRENCY,MX
CCC,XRP-USD,XRP USD,CCC,CRYPTOCURRENCY,MX
CCY,BWPXDR=X,BWP/XDR,CCY,CURRENCY,MX
CCY,EURZAR=X,EUR/ZAR,CCY,CURRENCY,MX
CCY,JPY=X,USD/JPY,CCY,CURRENCY,MX
CCY,JPYKRW=X,JPY/KRW,CCY,CURRENCY,MX
CCY,KRW=X,USD/KRW,CCY,CURRENCY,MX
CCY,KZT=X,USD/KZT,CCY,CURRENCY,MX
CCY,NOK=X,USD/NOK,CCY,CURRENCY,MX
CCY,OMRQAR=X,OMR/QAR,CCY,CURRENCY,MX
CCY,QARTHX=X,QAR/THX,CCY,CURRENCY,MX
CCY,ZAR=X,USD/ZAR,CCY,CURRENCY,MX
CME,6E=F,"Euro FX Futures,Mar-2026",Chicago Mercantile Exchange,FUTURE,MX
CME,6L=F,"Brazilian Real Futures,Mar-2026",Chicago Mercantile Exchange,FUTURE,MX
CME,6Z=F,"South African Rand Futures,Mar-",Chicago Mercantile Exchange,FUTURE,MX
